         4161579 function calls (4142587 primitive calls) in 1.701 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11200    0.007    0.000    0.025    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:84(children)
      838    0.003    0.000    0.025    0.000 /Users/tbarrett/dev/spreadsheet/sheets/cell.py:99(_recompute_formula)
     9600    0.009    0.000    0.025    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:63(add_family)
     5600    0.006    0.000    0.025    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:416(visit_symbol_node_in)
   237509    0.024    0.000    0.024    0.000 {built-in method builtins.isinstance}
    81000    0.014    0.000    0.024    0.000 /Users/tbarrett/dev/spreadsheet/sheets/cell.py:89(dependencies)
     5600    0.007    0.000    0.023    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:625(visit_packed_node_in)
 1714/838    0.002    0.000    0.022    0.000 /usr/local/lib/python3.9/site-packages/lark/visitors.py:394(visit)
        1    0.000    0.000    0.021    0.021 /usr/local/lib/python3.9/site-packages/lark/parser_frontends.py:152(create_lalr_parser)
        1    0.000    0.000    0.021    0.021 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_parser.py:17(__init__)
   162398    0.020    0.000    0.020    0.000 /Users/tbarrett/dev/spreadsheet/sheets/cell.py:66(value)
     9200    0.014    0.000    0.020    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:49(__init__)
      402    0.002    0.000    0.019    0.000 /Users/tbarrett/dev/spreadsheet/sheets/graph.py:199(reachable)
      838    0.002    0.000    0.019    0.000 /Users/tbarrett/dev/spreadsheet/sheets/cell.py:262(add_expr)
   247688    0.019    0.000    0.019    0.000 {built-in method builtins.ord}
   243000    0.019    0.000    0.019    0.000 {built-in method builtins.chr}
     4400    0.007    0.000    0.018    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:575(transform_symbol_node)
     2080    0.007    0.000    0.018    0.000 /Users/tbarrett/dev/spreadsheet/sheets/utils.py:120(location_to_coordinates)
   206689    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
    95710    0.016    0.000    0.016    0.000 {built-in method builtins.next}
    11200    0.009    0.000    0.016    0.000 {built-in method builtins.sorted}
      805    0.008    0.000    0.015    0.000 /Users/tbarrett/dev/spreadsheet/sheets/graph.py:217(subgraph)
     5600    0.005    0.000    0.015    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:421(visit_packed_node_in)
      838    0.002    0.000    0.014    0.000 /Users/tbarrett/dev/spreadsheet/sheets/cell.py:187(cell)
        1    0.000    0.000    0.014    0.014 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_analysis.py:299(compute_lalr)
    61200    0.013    0.000    0.014    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_common.py:28(__eq__)
   133940    0.013    0.000    0.013    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.012    0.012 /usr/local/lib/python3.9/site-packages/lark/load_grammar.py:1276(do_import)
     9600    0.007    0.000    0.012    0.000 /usr/local/lib/python3.9/site-packages/lark/parsers/earley_forest.py:125(__init__)
      806    0.003    0.000    0.012    0.000 /Users/tbarrett/dev/spreadsheet/sheets/graph.py:98(strongly_connected_components)
130329/130001    0.012    0.000    0.012    0.000 {built-in method builtins.len}
      838    0.001    0.000    0.011    0.000 /Users/tbarrett/dev/spreadsheet/sheets/cell.py:106(get_cell_value)
    94781    0.011    0.000    0.011    0.000 /usr/local/lib/python3.9/site-packages/lark/grammar.py:113(__hash__)
      798    0.001    0.000    0.010    0.000 /Users/tbarrett/dev/spreadsheet/sheets/workbook.py:584(get_cell_value)
        2    0.000    0.000    0.010    0.005 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_parser.py:39(parse)
        2    0.000    0.000    0.010    0.005 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_parser.py:166(parse)
        2    0.000    0.000    0.010    0.005 /usr/local/lib/python3.9/site-packages/lark/parsers/lalr_parser.py:174(parse_from_state)
